day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	3
2	9	4
2	10	6
2	11	8
2	12	10
2	13	10
2	14	15
2	15	18
2	16	16
2	17	10
2	18	10
2	19	6
2	20	5
2	21	1
2	22	3
2	23	2
2	24	2
3	1	1
3	2	1
3	3	2
3	4	2
3	5	2
3	6	2
3	7	0
3	8	1
3	9	7
3	10	10
3	11	6
3	12	8
3	13	8
3	14	10
3	15	7
3	16	6
3	17	6
3	18	9
3	19	5
3	20	5
3	21	2
3	22	1
3	23	0
3	24	1
4	1	0
4	2	1
4	3	1
4	4	2
4	5	2
4	6	3
4	7	3
4	8	4
4	9	5
4	10	15
4	11	13
4	12	15
4	13	12
4	14	17
4	15	17
4	16	17
4	17	16
4	18	12
4	19	8
4	20	4
4	21	7
4	22	7
4	23	6
4	24	3
5	1	0
5	2	1
5	3	1
5	4	1
5	5	1
5	6	2
5	7	2
5	8	3
5	9	8
5	10	10
5	11	11
5	12	21
5	13	18
5	14	18
5	15	23
5	16	21
5	17	17
5	18	15
5	19	12
5	20	6
5	21	2
5	22	2
5	23	2
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	3
6	13	2
6	14	2
6	15	1
6	16	0
6	17	1
6	18	1
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1
7	9	2
7	10	5
7	11	9
7	12	10
7	13	6
7	14	10
7	15	8
7	16	6
7	17	6
7	18	5
7	19	5
7	20	5
7	21	4
7	22	4
7	23	4
7	24	2
8	1	0
8	2	2
8	3	2
8	4	2
8	5	2
8	6	2
8	7	2
8	8	2
8	9	8
8	10	11
8	11	17
8	12	23
8	13	21
8	14	25
8	15	21
8	16	25
8	17	22
8	18	17
8	19	9
8	20	8
8	21	5
8	22	3
8	23	2
8	24	2
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	1
9	9	3
9	10	7
9	11	14
9	12	17
9	13	12
9	14	14
9	15	13
9	16	13
9	17	13
9	18	13
9	19	12
9	20	6
9	21	1
9	22	2
9	23	2
9	24	2
10	1	1
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	1
10	9	4
10	10	5
10	11	8
10	12	9
10	13	6
10	14	8
10	15	9
10	16	7
10	17	6
10	18	5
10	19	4
10	20	3
10	21	1
10	22	1
10	23	1
10	24	1
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	1
11	9	1
11	10	2
11	11	4
11	12	3
11	13	3
11	14	3
11	15	1
11	16	2
11	17	4
11	18	3
11	19	1
11	20	0
11	21	1
11	22	1
11	23	1
11	24	1
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	1
12	9	1
12	10	4
12	11	5
12	12	8
12	13	7
12	14	6
12	15	7
12	16	5
12	17	2
12	18	2
12	19	3
12	20	3
12	21	2
12	22	2
12	23	1
12	24	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	1
13	9	2
13	10	6
13	11	6
13	12	6
13	13	5
13	14	4
13	15	2
13	16	5
13	17	4
13	18	4
13	19	2
13	20	1
13	21	0
13	22	0
13	23	0
13	24	0
14	1	0
14	2	0
14	3	0
14	4	1
14	5	1
14	6	1
14	7	2
14	8	3
14	9	8
14	10	6
14	11	11
14	12	11
14	13	15
14	14	12
14	15	10
14	16	17
14	17	18
14	18	16
14	19	9
14	20	4
14	21	3
14	22	2
14	23	1
14	24	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	2
15	10	3
15	11	6
15	12	8
15	13	8
15	14	8
15	15	9
15	16	9
15	17	7
15	18	6
15	19	3
15	20	1
15	21	0
15	22	0
15	23	0
15	24	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
16	18	0
16	19	0
16	20	0
16	21	0
16	22	0
16	23	0
16	24	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	6
17	10	8
17	11	11
17	12	14
17	13	9
17	14	10
17	15	9
17	16	6
17	17	8
17	18	6
17	19	2
17	20	2
17	21	2
17	22	1
17	23	0
17	24	0
18	1	1
18	2	2
18	3	2
18	4	2
18	5	2
18	6	2
18	7	3
18	8	3
18	9	8
18	10	11
18	11	17
18	12	16
18	13	17
18	14	16
18	15	18
18	16	21
18	17	21
18	18	16
18	19	5
18	20	3
18	21	2
18	22	4
18	23	3
18	24	3
19	1	1
19	2	1
19	3	1
19	4	1
19	5	1
19	6	1
19	7	1
19	8	2
19	9	4
19	10	9
19	11	15
19	12	17
19	13	14
19	14	17
19	15	17
19	16	22
19	17	19
19	18	14
19	19	8
19	20	8
19	21	3
19	22	1
19	23	1
19	24	1
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	0
20	7	0
20	8	0
20	9	0
20	10	1
20	11	1
20	12	0
20	13	0
20	14	1
20	15	2
20	16	2
20	17	3
20	18	3
20	19	1
20	20	0
20	21	1
20	22	1
20	23	1
20	24	0
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	4
21	10	4
21	11	7
21	12	8
21	13	8
21	14	7
21	15	5
21	16	5
21	17	5
21	18	5
21	19	4
21	20	2
21	21	3
21	22	3
21	23	2
21	24	1
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	1
22	9	4
22	10	5
22	11	3
22	12	3
22	13	4
22	14	5
22	15	5
22	16	4
22	17	2
22	18	2
22	19	3
22	20	2
22	21	0
22	22	0
22	23	0
22	24	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	0
23	10	2
23	11	2
23	12	3
23	13	2
23	14	3
23	15	2
23	16	2
23	17	1
23	18	0
23	19	0
23	20	1
23	21	1
23	22	1
23	23	0
23	24	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	0
24	11	0
24	12	0
24	13	2
24	14	2
24	15	0
24	16	1
24	17	1
24	18	0
24	19	0
24	20	0
24	21	0
24	22	0
24	23	0
24	24	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	1
25	8	5
25	9	6
25	10	5
25	11	4
25	12	4
25	13	5
25	14	4
25	15	3
25	16	3
25	17	1
25	18	2
25	19	1
25	20	1
25	21	2
25	22	1
25	23	1
25	24	0
26	1	0
26	2	1
26	3	0
26	4	2
26	5	2
26	6	2
26	7	1
26	8	1
26	9	2
26	10	4
26	11	5
26	12	8
26	13	8
26	14	7
26	15	4
26	16	3
26	17	4
26	18	8
26	19	3
26	20	2
26	21	2
26	22	2
26	23	1
26	24	0
27	1	0
27	2	1
27	3	1
27	4	1
27	5	1
27	6	1
27	7	2
27	8	3
27	9	6
27	10	7
27	11	9
27	12	9
27	13	9
27	14	10
27	15	13
27	16	14
27	17	8
27	18	5
27	19	3
27	20	3
27	21	1
27	22	2
27	23	2
27	24	1
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	3
28	10	3
28	11	4
28	12	4
28	13	3
28	14	4
28	15	5
28	16	5
28	17	2
28	18	1
28	19	1
28	20	0
28	21	0
28	22	0
28	23	0
28	24	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	0
29	10	2
29	11	2
29	12	2
29	13	5
29	14	3
29	15	2
29	16	2
29	17	2
29	18	0
29	19	1
29	20	1
29	21	0
29	22	0
29	23	0
29	24	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	0
30	8	0
30	9	2
30	10	3
30	11	4
30	12	4
30	13	3
30	14	3
30	15	4
30	16	4
30	17	4
30	18	4
30	19	5
30	20	5
30	21	3
30	22	3
30	23	1
30	24	1
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	1
31	9	1
31	10	6
31	11	10
31	12	11
31	13	13
31	14	10
31	15	11
31	16	12
31	17	9
31	18	8
31	19	7
31	20	3
31	21	2
31	22	1
31	23	1
31	24	1
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	0
32	9	0
32	10	1
32	11	2
32	12	7
32	13	10
32	14	10
32	15	2
32	16	5
32	17	5
32	18	3
32	19	0
32	20	0
32	21	0
32	22	0
32	23	0
32	24	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	1
33	9	6
33	10	8
33	11	8
33	12	8
33	13	8
33	14	8
33	15	10
33	16	9
33	17	7
33	18	9
33	19	6
33	20	2
33	21	1
33	22	1
33	23	0
33	24	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	1
34	11	1
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
34	18	0
34	19	0
34	20	0
34	21	0
34	22	0
34	23	0
34	24	0
35	1	0
35	2	1
35	3	1
35	4	1
35	5	1
35	6	1
35	7	1
35	8	1
35	9	1
35	10	2
35	11	2
35	12	2
35	13	2
35	14	1
35	15	2
35	16	1
35	17	1
35	18	2
35	19	1
35	20	2
35	21	1
35	22	1
35	23	1
35	24	1
36	1	0
36	2	1
36	3	1
36	4	1
36	5	1
36	6	1
36	7	1
36	8	7
36	9	32
36	10	52
36	11	53
36	12	50
36	13	45
36	14	39
36	15	47
36	16	45
36	17	43
36	18	39
36	19	22
36	20	11
36	21	5
36	22	5
36	23	3
36	24	3
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	2
37	9	11
37	10	30
37	11	32
37	12	35
37	13	25
37	14	27
37	15	28
37	16	23
37	17	19
37	18	18
37	19	3
37	20	0
37	21	0
37	22	0
