day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	2
1	12	2
1	13	1
1	14	1
1	15	2
1	16	2
1	17	3
1	18	3
1	19	2
1	20	1
1	21	1
1	22	1
1	23	1
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	2
2	10	10
2	11	21
2	12	31
2	13	40
2	14	42
2	15	40
2	16	39
2	17	44
2	18	34
2	19	27
2	20	15
2	21	14
2	22	11
2	23	5
2	24	4
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	2
3	11	2
3	12	1
3	13	7
3	14	10
3	15	10
3	16	9
3	17	10
3	18	3
3	19	3
3	20	3
3	21	3
3	22	2
3	23	3
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	1
4	11	9
4	12	20
4	13	14
4	14	5
4	15	10
4	16	14
4	17	15
4	18	15
4	19	80
4	20	87
4	21	89
4	22	93
4	23	89
4	24	4
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	3
5	12	3
5	13	4
5	14	7
5	15	6
5	16	3
5	17	2
5	18	3
5	19	3
5	20	2
5	21	1
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	5
6	12	6
6	13	7
6	14	11
6	15	14
6	16	12
6	17	13
6	18	10
6	19	3
6	20	2
6	21	2
6	22	2
6	23	1
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	2
7	14	2
7	15	5
7	16	5
7	17	2
7	18	3
7	19	2
7	20	1
7	21	1
7	22	0
7	23	0
7	24	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	6
8	10	17
8	11	24
8	12	21
8	13	7
8	14	9
8	15	12
8	16	15
8	17	15
8	18	8
8	19	3
8	20	2
8	21	2
8	22	2
8	23	1
8	24	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
9	12	0
9	13	0
9	14	2
9	15	4
9	16	5
9	17	2
9	18	1
9	19	0
9	20	0
9	21	0
9	22	0
9	23	0
9	24	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	0
10	11	0
10	12	0
10	13	0
10	14	2
10	15	2
10	16	0
10	17	0
10	18	0
10	19	0
10	20	0
10	21	0
10	22	0
10	23	0
10	24	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	0
11	9	1
11	10	2
11	11	3
11	12	5
11	13	7
11	14	9
11	15	8
11	16	9
11	17	8
11	18	11
11	19	8
11	20	7
11	21	4
11	22	5
11	23	1
11	24	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	0
12	10	1
12	11	1
12	12	2
12	13	5
12	14	4
12	15	6
12	16	6
12	17	3
12	18	4
12	19	3
12	20	2
12	21	0
12	22	0
12	23	0
12	24	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	1
13	11	2
13	12	2
13	13	6
13	14	8
13	15	11
13	16	11
13	17	13
13	18	6
13	19	7
13	20	6
13	21	6
13	22	5
13	23	5
13	24	3
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	0
14	9	0
14	10	0
14	11	0
14	12	0
14	13	0
14	14	1
14	15	2
14	16	3
14	17	3
14	18	4
14	19	3
14	20	1
14	21	0
14	22	0
14	23	0
14	24	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	1
15	11	2
15	12	2
15	13	2
15	14	1
15	15	2
15	16	0
15	17	0
15	18	0
15	19	0
15	20	0
15	21	0
15	22	0
15	23	0
15	24	1
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
16	18	0
16	19	0
16	20	0
16	21	0
16	22	0
16	23	0
16	24	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	1
17	10	1
17	11	6
17	12	8
17	13	13
17	14	15
17	15	9
17	16	12
17	17	12
17	18	8
17	19	8
17	20	7
17	21	5
17	22	5
17	23	1
17	24	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	2
18	12	2
18	13	2
18	14	3
18	15	11
18	16	9
18	17	4
18	18	0
18	19	0
18	20	0
18	21	0
18	22	0
18	23	0
18	24	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	0
19	13	0
19	14	1
19	15	1
19	16	0
19	17	1
19	18	1
19	19	0
19	20	0
19	21	1
19	22	1
19	23	0
19	24	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	0
20	7	0
20	8	0
20	9	0
20	10	0
20	11	0
20	12	0
20	13	0
20	14	1
20	15	1
20	16	0
20	17	0
20	18	1
20	19	1
20	20	1
20	21	1
20	22	1
20	23	0
20	24	1
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	0
21	10	0
21	11	0
21	12	0
21	13	0
21	14	0
21	15	0
21	16	0
21	17	0
21	18	0
21	19	0
21	20	0
21	21	0
21	22	0
21	23	0
21	24	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	0
22	10	0
22	11	0
22	12	0
22	13	0
22	14	0
22	15	1
22	16	1
22	17	1
22	18	1
22	19	1
22	20	2
22	21	2
22	22	2
22	23	0
22	24	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	0
23	10	0
23	11	1
23	12	3
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
23	18	0
23	19	0
23	20	0
23	21	0
23	22	0
23	23	1
23	24	1
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	0
24	11	1
24	12	1
24	13	0
24	14	0
24	15	0
24	16	0
24	17	1
24	18	0
24	19	0
24	20	0
24	21	0
24	22	0
24	23	0
24	24	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	2
25	10	4
25	11	4
25	12	5
25	13	4
25	14	2
25	15	2
25	16	2
25	17	3
25	18	5
25	19	5
25	20	4
25	21	3
25	22	3
25	23	3
25	24	1
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	0
26	8	0
26	9	1
26	10	2
26	11	3
26	12	4
26	13	4
26	14	5
26	15	6
26	16	7
26	17	4
26	18	4
26	19	2
26	20	4
26	21	2
26	22	2
26	23	3
26	24	3
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	0
27	9	1
27	10	1
27	11	2
27	12	3
27	13	3
27	14	2
27	15	2
27	16	2
27	17	1
27	18	1
27	19	2
27	20	0
27	21	0
27	22	0
27	23	0
27	24	0
28	1	0
28	2	0
28	3	1
28	4	1
28	5	1
28	6	1
28	7	1
28	8	1
28	9	1
28	10	3
28	11	4
28	12	5
28	13	5
28	14	5
28	15	6
28	16	5
28	17	5
28	18	5
28	19	5
28	20	4
28	21	4
28	22	4
28	23	3
28	24	2
29	1	1
29	2	1
29	3	1
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	1
29	10	1
29	11	2
29	12	2
29	13	2
29	14	5
29	15	6
29	16	6
29	17	5
29	18	7
29	19	6
29	20	4
29	21	3
29	22	1
29	23	0
29	24	0
30	1	0
30	2	0
30	3	0
30	4	1
30	5	1
30	6	1
30	7	1
30	8	1
30	9	1
30	10	4
30	11	5
30	12	4
30	13	7
30	14	5
30	15	2
30	16	2
30	17	2
30	18	2
30	19	3
30	20	2
30	21	1
30	22	1
30	23	1
30	24	1
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	0
31	9	1
31	10	2
31	11	3
31	12	4
31	13	12
31	14	15
31	15	13
31	16	3
31	17	2
31	18	2
31	19	2
31	20	2
31	21	2
31	22	0
31	23	0
31	24	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	0
32	9	0
32	10	3
32	11	2
32	12	3
32	13	7
32	14	9
32	15	9
32	16	15
32	17	11
32	18	9
32	19	1
32	20	0
32	21	0
32	22	0
32	23	1
32	24	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	0
33	9	0
33	10	0
33	11	0
33	12	0
33	13	0
33	14	1
33	15	2
33	16	3
33	17	1
33	18	0
33	19	0
33	20	0
33	21	0
33	22	0
33	23	0
33	24	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	1
34	11	1
34	12	1
34	13	1
34	14	1
34	15	1
34	16	2
34	17	2
34	18	1
34	19	1
34	20	1
34	21	1
34	22	1
34	23	1
34	24	1
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	0
35	11	0
35	12	0
35	13	0
35	14	0
35	15	0
35	16	0
35	17	0
35	18	0
35	19	0
35	20	0
35	21	0
35	22	0
35	23	0
35	24	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
36	12	1
36	13	2
36	14	4
36	15	4
36	16	5
36	17	6
36	18	5
36	19	4
36	20	5
36	21	3
36	22	3
36	23	3
36	24	2
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	1
37	10	3
37	11	3
37	12	2
37	13	2
37	14	2
37	15	1
37	16	1
37	17	1
37	18	1
37	19	0
37	20	0
37	21	0
37	22	0
