day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	1
2	9	3
2	10	2
2	11	3
2	12	4
2	13	5
2	14	5
2	15	4
2	16	3
2	17	3
2	18	2
2	19	3
2	20	2
2	21	2
2	22	2
2	23	2
2	24	2
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	4
3	10	8
3	11	8
3	12	14
3	13	18
3	14	18
3	15	23
3	16	20
3	17	19
3	18	12
3	19	3
3	20	1
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	4
4	10	9
4	11	14
4	12	16
4	13	15
4	14	17
4	15	21
4	16	21
4	17	20
4	18	16
4	19	11
4	20	7
4	21	4
4	22	3
4	23	2
4	24	1
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	1
5	9	5
5	10	8
5	11	15
5	12	16
5	13	20
5	14	22
5	15	22
5	16	18
5	17	16
5	18	15
5	19	13
5	20	6
5	21	6
5	22	5
5	23	3
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	2
6	11	1
6	12	1
6	13	1
6	14	0
6	15	1
6	16	2
6	17	3
6	18	1
6	19	1
6	20	2
6	21	1
6	22	1
6	23	2
6	24	2
7	1	0
7	2	1
7	3	1
7	4	2
7	5	2
7	6	2
7	7	2
7	8	2
7	9	5
7	10	6
7	11	6
7	12	7
7	13	7
7	14	8
7	15	8
7	16	7
7	17	11
7	18	10
7	19	9
7	20	5
7	21	4
7	22	5
7	23	3
7	24	2
8	1	0
8	2	0
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	1
8	9	2
8	10	5
8	11	11
8	12	15
8	13	13
8	14	16
8	15	15
8	16	18
8	17	17
8	18	19
8	19	10
8	20	6
8	21	3
8	22	4
8	23	4
8	24	2
9	1	1
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	1
9	8	1
9	9	3
9	10	9
9	11	11
9	12	12
9	13	14
9	14	14
9	15	16
9	16	16
9	17	16
9	18	14
9	19	10
9	20	4
9	21	4
9	22	3
9	23	2
9	24	2
10	1	1
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	2
10	9	8
10	10	11
10	11	11
10	12	11
10	13	11
10	14	12
10	15	14
10	16	12
10	17	11
10	18	11
10	19	5
10	20	3
10	21	2
10	22	1
10	23	1
10	24	1
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	2
11	9	3
11	10	2
11	11	2
11	12	2
11	13	4
11	14	4
11	15	4
11	16	4
11	17	3
11	18	3
11	19	3
11	20	3
11	21	2
11	22	2
11	23	2
11	24	2
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	1
12	10	5
12	11	6
12	12	6
12	13	6
12	14	5
12	15	4
12	16	6
12	17	4
12	18	4
12	19	4
12	20	2
12	21	2
12	22	3
12	23	2
12	24	2
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	1
13	10	1
13	11	2
13	12	2
13	13	2
13	14	3
13	15	3
13	16	2
13	17	1
13	18	2
13	19	2
13	20	0
13	21	0
13	22	0
13	23	0
13	24	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	2
14	9	9
14	10	10
14	11	15
14	12	12
14	13	14
14	14	17
14	15	13
14	16	14
14	17	13
14	18	12
14	19	9
14	20	0
14	21	0
14	22	0
14	23	0
14	24	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	3
15	10	5
15	11	9
15	12	7
15	13	8
15	14	9
15	15	12
15	16	14
15	17	11
15	18	7
15	19	5
15	20	2
15	21	1
15	22	1
15	23	1
15	24	1
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
16	18	0
16	19	0
16	20	0
16	21	0
16	22	0
16	23	0
16	24	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	2
17	10	3
17	11	4
17	12	5
17	13	5
17	14	6
17	15	7
17	16	5
17	17	5
17	18	4
17	19	0
17	20	0
17	21	0
17	22	1
17	23	1
17	24	1
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	1
18	8	2
18	9	7
18	10	9
18	11	14
18	12	14
18	13	12
18	14	14
18	15	14
18	16	12
18	17	9
18	18	10
18	19	4
18	20	2
18	21	1
18	22	1
18	23	0
18	24	0
19	1	1
19	2	2
19	3	2
19	4	2
19	5	2
19	6	2
19	7	2
19	8	2
19	9	6
19	10	11
19	11	14
19	12	11
19	13	9
19	14	10
19	15	11
19	16	10
19	17	9
19	18	12
19	19	9
19	20	5
19	21	2
19	22	2
19	23	3
19	24	2
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	0
20	7	0
20	8	0
20	9	2
20	10	3
20	11	3
20	12	4
20	13	4
20	14	4
20	15	4
20	16	3
20	17	3
20	18	3
20	19	4
20	20	4
20	21	2
20	22	2
20	23	0
20	24	1
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	3
21	10	2
21	11	2
21	12	2
21	13	4
21	14	5
21	15	3
21	16	2
21	17	2
21	18	5
21	19	3
21	20	3
21	21	0
21	22	0
21	23	0
21	24	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	1
22	9	1
22	10	2
22	11	2
22	12	3
22	13	3
22	14	4
22	15	4
22	16	5
22	17	4
22	18	3
22	19	2
22	20	1
22	21	0
22	22	0
22	23	0
22	24	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	1
23	8	1
23	9	1
23	10	1
23	11	2
23	12	1
23	13	4
23	14	5
23	15	3
23	16	2
23	17	2
23	18	0
23	19	0
23	20	0
23	21	0
23	22	0
23	23	0
23	24	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	0
24	11	0
24	12	0
24	13	0
24	14	0
24	15	0
24	16	1
24	17	1
24	18	0
24	19	0
24	20	0
24	21	0
24	22	0
24	23	0
24	24	0
25	1	1
25	2	1
25	3	1
25	4	1
25	5	1
25	6	2
25	7	2
25	8	2
25	9	2
25	10	3
25	11	7
25	12	9
25	13	7
25	14	6
25	15	7
25	16	6
25	17	4
25	18	5
25	19	2
25	20	2
25	21	2
25	22	2
25	23	2
25	24	2
26	1	0
26	2	1
26	3	1
26	4	1
26	5	1
26	6	1
26	7	1
26	8	0
26	9	2
26	10	4
26	11	3
26	12	8
26	13	9
26	14	7
26	15	6
26	16	10
26	17	9
26	18	8
26	19	5
26	20	6
26	21	6
26	22	6
26	23	4
26	24	2
27	1	1
27	2	1
27	3	1
27	4	1
27	5	1
27	6	1
27	7	1
27	8	1
27	9	2
27	10	3
27	11	3
27	12	3
27	13	5
27	14	7
27	15	6
27	16	4
27	17	4
27	18	3
27	19	4
27	20	3
27	21	1
27	22	1
27	23	2
27	24	2
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	1
28	10	2
28	11	1
28	12	2
28	13	3
28	14	3
28	15	3
28	16	4
28	17	4
28	18	2
28	19	1
28	20	0
28	21	0
28	22	0
28	23	0
28	24	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	3
29	10	4
29	11	3
29	12	6
29	13	8
29	14	11
29	15	9
29	16	6
29	17	5
29	18	7
29	19	3
29	20	0
29	21	0
29	22	0
29	23	0
29	24	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	0
30	8	0
30	9	7
30	10	13
30	11	26
30	12	33
30	13	35
30	14	42
30	15	45
30	16	41
30	17	44
30	18	35
30	19	17
30	20	7
30	21	6
30	22	5
30	23	0
30	24	0
31	1	0
31	2	0
31	3	0
31	4	1
31	5	1
31	6	1
31	7	1
31	8	3
31	9	5
31	10	11
31	11	13
31	12	12
31	13	16
31	14	20
31	15	14
31	16	13
31	17	13
31	18	9
31	19	10
31	20	8
31	21	5
31	22	4
31	23	3
31	24	3
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	0
32	9	10
32	10	29
32	11	34
32	12	35
32	13	30
32	14	22
32	15	28
32	16	31
32	17	26
32	18	15
32	19	0
32	20	0
32	21	0
32	22	0
32	23	0
32	24	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	1
33	9	7
33	10	8
33	11	8
33	12	7
33	13	6
33	14	8
33	15	11
33	16	9
33	17	7
33	18	6
33	19	4
33	20	4
33	21	2
33	22	1
33	23	1
33	24	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	0
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
34	18	0
34	19	0
34	20	0
34	21	0
34	22	0
34	23	0
34	24	0
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	2
35	11	2
35	12	1
35	13	2
35	14	2
35	15	2
35	16	2
35	17	3
35	18	2
35	19	2
35	20	2
35	21	1
35	22	0
35	23	0
35	24	0
36	1	0
36	2	0
36	3	0
36	4	1
36	5	1
36	6	1
36	7	1
36	8	7
36	9	23
36	10	31
36	11	34
36	12	35
36	13	36
36	14	27
36	15	32
36	16	33
36	17	32
36	18	30
36	19	20
36	20	3
36	21	2
36	22	2
36	23	3
36	24	3
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	2
37	9	18
37	10	23
37	11	28
37	12	27
37	13	26
37	14	26
37	15	27
37	16	28
37	17	27
37	18	22
37	19	10
37	20	4
37	21	2
37	22	1
