day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	1
1	13	0
1	14	1
1	15	1
1	16	2
1	17	2
1	18	1
1	19	1
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	2
2	9	3
2	10	4
2	11	7
2	12	11
2	13	12
2	14	13
2	15	14
2	16	13
2	17	11
2	18	14
2	19	10
2	20	8
2	21	3
2	22	2
2	23	3
2	24	2
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	2
3	12	4
3	13	4
3	14	6
3	15	6
3	16	7
3	17	8
3	18	5
3	19	6
3	20	6
3	21	1
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	2
4	12	9
4	13	8
4	14	6
4	15	6
4	16	6
4	17	7
4	18	13
4	19	12
4	20	8
4	21	4
4	22	3
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	6
5	12	8
5	13	4
5	14	3
5	15	3
5	16	1
5	17	1
5	18	1
5	19	1
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
6	12	1
6	13	2
6	14	2
6	15	2
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	2
7	12	3
7	13	3
7	14	2
7	15	2
7	16	4
7	17	5
7	18	3
7	19	2
7	20	1
7	21	1
7	22	1
7	23	0
7	24	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	1
8	10	7
8	11	7
8	12	8
8	13	5
8	14	5
8	15	7
8	16	7
8	17	7
8	18	6
8	19	7
8	20	4
8	21	6
8	22	5
8	23	5
8	24	4
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	1
9	10	2
9	11	3
9	12	2
9	13	2
9	14	1
9	15	2
9	16	2
9	17	2
9	18	3
9	19	2
9	20	0
9	21	0
9	22	0
9	23	0
9	24	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	0
10	11	0
10	12	0
10	13	1
10	14	0
10	15	0
10	16	0
10	17	0
10	18	0
10	19	0
10	20	0
10	21	0
10	22	0
10	23	0
10	24	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	0
11	9	0
11	10	0
11	11	0
11	12	0
11	13	0
11	14	0
11	15	0
11	16	0
11	17	0
11	18	0
11	19	0
11	20	0
11	21	0
11	22	0
11	23	0
11	24	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	0
12	10	0
12	11	1
12	12	2
12	13	1
12	14	2
12	15	4
12	16	3
12	17	3
12	18	1
12	19	2
12	20	1
12	21	0
12	22	0
12	23	0
12	24	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	1
13	11	1
13	12	1
13	13	2
13	14	2
13	15	1
13	16	0
13	17	0
13	18	0
13	19	2
13	20	1
13	21	0
13	22	0
13	23	0
13	24	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	0
14	9	0
14	10	1
14	11	1
14	12	0
14	13	0
14	14	0
14	15	2
14	16	3
14	17	1
14	18	0
14	19	0
14	20	0
14	21	0
14	22	0
14	23	0
14	24	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	0
15	11	0
15	12	0
15	13	7
15	14	7
15	15	0
15	16	0
15	17	0
15	18	0
15	19	0
15	20	0
15	21	0
15	22	0
15	23	0
15	24	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
16	18	0
16	19	0
16	20	0
16	21	0
16	22	0
16	23	0
16	24	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	0
17	10	0
17	11	0
17	12	1
17	13	1
17	14	0
17	15	0
17	16	1
17	17	1
17	18	1
17	19	0
17	20	0
17	21	0
17	22	0
17	23	0
17	24	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	1
18	11	1
18	12	0
18	13	0
18	14	1
18	15	1
18	16	0
18	17	0
18	18	0
18	19	0
18	20	0
18	21	0
18	22	0
18	23	0
18	24	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	0
19	13	0
19	14	0
19	15	1
19	16	1
19	17	0
19	18	0
19	19	0
19	20	0
19	21	0
19	22	0
19	23	0
19	24	0
20	1	1
20	2	1
20	3	1
20	4	1
20	5	1
20	6	1
20	7	1
20	8	1
20	9	2
20	10	4
20	11	5
20	12	7
20	13	6
20	14	6
20	15	8
20	16	8
20	17	9
20	18	7
20	19	5
20	20	2
20	21	2
20	22	2
20	23	1
20	24	1
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	0
21	10	0
21	11	0
21	12	0
21	13	0
21	14	0
21	15	0
21	16	0
21	17	0
21	18	0
21	19	0
21	20	0
21	21	0
21	22	0
21	23	0
21	24	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	0
22	10	0
22	11	0
22	12	0
22	13	0
22	14	0
22	15	0
22	16	0
22	17	0
22	18	0
22	19	0
22	20	0
22	21	0
22	22	0
22	23	0
22	24	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	0
23	10	0
23	11	10
23	12	11
23	13	15
23	14	17
23	15	19
23	16	15
23	17	13
23	18	11
23	19	0
23	20	0
23	21	0
23	22	0
23	23	0
23	24	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	0
24	11	0
24	12	0
24	13	0
24	14	0
24	15	0
24	16	0
24	17	0
24	18	0
24	19	0
24	20	0
24	21	0
24	22	0
24	23	0
24	24	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	1
25	8	1
25	9	0
25	10	0
25	11	0
25	12	0
25	13	0
25	14	0
25	15	3
25	16	4
25	17	3
25	18	0
25	19	2
25	20	4
25	21	4
25	22	4
25	23	3
25	24	0
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	0
26	8	0
26	9	0
26	10	0
26	11	0
26	12	2
26	13	4
26	14	2
26	15	2
26	16	3
26	17	4
26	18	2
26	19	0
26	20	0
26	21	0
26	22	0
26	23	0
26	24	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	0
27	9	0
27	10	0
27	11	2
27	12	2
27	13	3
27	14	5
27	15	5
27	16	6
27	17	2
27	18	2
27	19	3
27	20	2
27	21	0
27	22	0
27	23	0
27	24	0
28	1	0
28	2	1
28	3	1
28	4	1
28	5	1
28	6	1
28	7	1
28	8	1
28	9	1
28	10	1
28	11	1
28	12	1
28	13	1
28	14	1
28	15	1
28	16	1
28	17	0
28	18	0
28	19	1
28	20	1
28	21	1
28	22	1
28	23	1
28	24	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	0
29	10	0
29	11	1
29	12	2
29	13	3
29	14	6
29	15	5
29	16	4
29	17	6
29	18	7
29	19	4
29	20	4
29	21	3
29	22	2
29	23	0
29	24	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	0
30	8	0
30	9	1
30	10	6
30	11	13
30	12	15
30	13	18
30	14	35
30	15	50
30	16	51
30	17	42
30	18	34
30	19	12
30	20	5
30	21	3
30	22	3
30	23	1
30	24	1
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	0
31	9	0
31	10	1
31	11	3
31	12	1
31	13	1
31	14	0
31	15	3
31	16	3
31	17	3
31	18	2
31	19	1
31	20	1
31	21	1
31	22	1
31	23	1
31	24	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	0
32	9	0
32	10	0
32	11	7
32	12	9
32	13	9
32	14	0
32	15	0
32	16	0
32	17	0
32	18	0
32	19	0
32	20	0
32	21	0
32	22	0
32	23	0
32	24	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	0
33	9	0
33	10	0
33	11	0
33	12	1
33	13	1
33	14	1
33	15	3
33	16	3
33	17	1
33	18	0
33	19	0
33	20	0
33	21	0
33	22	0
33	23	0
33	24	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	0
34	12	0
34	13	0
34	14	1
34	15	1
34	16	1
34	17	2
34	18	2
34	19	0
34	20	0
34	21	0
34	22	0
34	23	1
34	24	1
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	0
35	11	0
35	12	0
35	13	0
35	14	0
35	15	1
35	16	2
35	17	1
35	18	1
35	19	1
35	20	0
35	21	0
35	22	0
35	23	0
35	24	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0
36	9	1
36	10	2
36	11	2
36	12	3
36	13	2
36	14	1
36	15	2
36	16	2
36	17	1
36	18	1
36	19	1
36	20	0
36	21	0
36	22	0
36	23	0
36	24	0
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	0
37	10	3
37	11	4
37	12	4
37	13	6
37	14	5
37	15	5
37	16	5
37	17	5
37	18	0
37	19	0
37	20	0
37	21	0
37	22	0
