journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,1,1,2,2,0,0,1,1
ARTS-AS1-02,0,0,0,0,0,0,0,0,1,1,8,12,16,15,22,23,23,20,12,6,4,4,1,0
ARTS-AS1-03,0,0,0,0,0,0,0,0,0,8,15,20,29,32,39,44,48,28,23,18,19,10,1,0
ARTS-AS1-04,4,6,8,9,9,9,9,9,11,4,4,11,17,14,16,16,21,12,9,9,3,3,2,0
ARTS-AS1-05,0,0,0,0,0,0,0,0,1,1,3,2,2,1,3,5,5,2,2,0,0,0,0,0
ARTS-AS2-02,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,3,4,1,0,0,0,0,0
ARTS-AS2-03,0,0,0,0,0,0,0,0,1,4,6,6,12,14,17,13,12,7,5,4,1,1,0,0
ARTS-AS2-04,0,0,0,0,0,0,0,0,2,5,9,13,15,15,20,23,22,15,6,4,2,2,1,0
ARTS-AS2-05,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,5,3,1,1,1,0,0,0,0
ARTS-AS2-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0
ARTS-AS3-01,0,0,0,0,0,0,0,0,0,0,2,2,5,4,6,6,6,4,0,0,0,0,0,0
ARTS-AS3-02,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0
ARTS-AS3-03,0,0,0,0,0,0,0,0,2,3,4,7,10,11,10,9,7,12,11,9,3,3,1,0
ARTS-AS3-04,0,0,0,0,0,0,0,0,1,1,3,7,8,8,7,7,10,8,0,0,0,0,0,0
ARTS-AS3-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,0,0,0,11,21,21,5,9,12,10,11,6,6,3,2,0,0,0
ARTS-AS4-02,0,0,0,0,0,0,0,1,1,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0
ARTS-AS4-03,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
ARTS-AS4-04,1,1,1,1,1,1,1,1,2,4,5,7,3,5,5,5,5,3,2,2,2,2,2,2
ARTS-AS4-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ARTS-AS4-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-B1,0,0,0,0,0,0,0,0,0,3,3,3,4,2,1,2,3,0,0,0,0,0,0,0
ARTS-AS5-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS5-03,0,0,0,0,0,0,0,0,0,0,4,4,7,6,4,3,3,1,0,0,0,0,0,0
ARTS-AS5-04,0,0,0,0,0,0,0,0,0,2,3,4,3,4,5,5,6,4,0,0,0,0,0,0
ARTS-AS5-05,0,0,0,0,0,0,0,0,0,2,3,3,3,2,4,5,6,2,1,0,0,0,0,0
ARTS-AS5-06,2,3,3,3,3,3,3,3,3,5,4,6,9,10,13,12,12,13,15,14,11,11,10,2
ARTS-AS6-01,0,0,0,0,0,0,0,0,0,2,5,4,9,13,12,11,9,9,6,1,0,1,2,0
ARTS-AS6-02,0,0,0,0,0,0,0,1,8,26,57,90,114,143,152,165,155,123,124,94,78,59,11,4
ARTS-AS6-03,0,0,0,0,0,0,0,0,0,6,19,20,18,8,7,7,5,1,3,2,2,3,3,2
ARTS-AS7-01,0,0,0,0,0,0,0,0,12,24,28,22,11,12,18,50,69,31,1,1,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,1,0,0,0,2,2,3,5,9,12,14,11,6,1,0,0,0,0,0
ARTS-AS7-03,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,1,2,3,3,3,3,2,0
ARTS-AS7-04,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-05,1,1,1,1,1,1,1,1,2,2,4,4,3,2,2,3,3,3,2,0,0,0,0,0
ARTS-AS7-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-CTN-02,0,0,0,0,0,0,0,0,5,7,4,23,82,83,63,23,26,33,36,11,2,2,2,0
ARTS-LT10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,0,0,0,0,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,2,2,1,3,1
ARTS-LT12,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
ARTS-LT14,0,0,0,0,0,0,0,0,5,19,37,44,46,56,57,67,68,41,36,32,31,25,0,0
ARTS-LT15,0,0,0,0,0,0,0,0,2,3,3,6,4,5,11,11,9,8,6,5,5,2,1,0
ARTS-LT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTS-Ventus-01,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
ARTS-Ventus-02,0,0,0,0,0,0,0,0,2,4,6,5,4,3,4,4,4,3,2,3,1,1,1,1
ARTS-Ventus-03,0,0,0,0,0,0,0,0,1,1,1,8,9,5,3,1,2,1,1,0,0,0,0,0
ARTS-Ventus-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
