journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
ARTS-AS1-02,1,1,1,1,1,1,1,2,4,6,7,6,7,10,11,10,8,7,3,2,2,2,2,0
ARTS-AS1-03,0,0,0,0,0,0,0,0,3,8,11,16,14,10,12,14,13,10,6,3,0,0,0,0
ARTS-AS1-04,1,1,1,2,2,2,2,2,2,5,6,11,14,13,13,19,17,18,20,11,10,10,9,1
ARTS-AS1-05,0,0,1,3,3,3,3,3,10,16,20,21,21,21,21,22,22,19,12,9,8,6,5,5
ARTS-AS2-02,0,0,0,0,0,1,0,0,1,2,1,1,1,1,0,2,1,2,2,0,0,0,0,0
ARTS-AS2-03,0,0,0,0,0,0,0,0,4,7,10,10,11,9,7,6,7,5,4,2,1,1,1,0
ARTS-AS2-04,0,0,0,0,0,0,1,2,7,11,16,18,19,19,22,26,27,24,8,4,3,3,3,3
ARTS-AS2-05,0,0,0,0,1,1,1,1,4,8,9,12,12,11,12,10,5,4,2,3,2,2,2,2
ARTS-AS2-06,0,1,1,1,2,2,2,2,5,6,6,7,8,10,10,9,7,7,5,4,3,2,2,2
ARTS-AS3-01,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,2,2,4,3,3,1,1,1,1
ARTS-AS3-02,0,0,0,0,0,0,0,0,1,4,4,4,3,4,4,5,5,5,3,1,1,0,0,0
ARTS-AS3-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS3-04,0,0,0,0,0,0,0,1,5,8,15,18,12,16,15,10,9,6,4,2,1,1,1,1
ARTS-AS3-05,0,0,0,0,0,0,0,1,2,2,3,6,5,4,6,7,7,5,3,0,0,0,0,0
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,2,3,3,1,0,0,0,0,0
ARTS-AS4-02,0,1,1,1,1,0,0,3,9,11,8,9,16,17,16,17,17,12,2,1,1,2,1,1
ARTS-AS4-03,1,1,1,1,1,1,1,1,5,9,11,14,13,15,18,17,17,11,9,8,6,5,4,4
ARTS-AS4-04,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,2,2,1,0,0,0,0,0
ARTS-AS4-05,0,0,0,0,0,0,0,0,0,1,2,3,5,3,5,4,4,3,3,3,2,2,2,0
ARTS-AS4-06,0,0,0,0,0,0,0,0,0,2,3,4,4,4,2,1,1,1,0,0,0,0,0,0
ARTS-AS4-B1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
ARTS-AS5-02,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0
ARTS-AS5-03,0,0,0,1,1,1,2,2,3,7,7,8,6,7,8,10,8,7,4,2,1,2,2,2
ARTS-AS5-04,1,1,1,1,1,1,2,1,2,2,4,5,6,6,6,8,6,6,4,5,2,3,3,2
ARTS-AS5-05,1,1,2,2,2,2,2,2,3,5,6,8,10,12,10,10,8,7,5,5,4,4,4,2
ARTS-AS5-06,0,0,0,0,0,0,0,1,5,7,6,7,6,4,3,6,7,7,4,1,1,0,0,0
ARTS-AS6-01,0,0,0,0,0,0,0,0,3,4,4,4,4,6,7,10,10,4,2,0,0,0,0,0
ARTS-AS6-02,0,0,0,0,0,0,0,0,1,3,3,3,5,5,4,4,3,4,4,3,2,2,2,2
ARTS-AS6-03,0,0,0,0,1,1,1,1,2,4,8,8,9,10,12,12,13,10,8,6,4,3,0,0
ARTS-AS7-01,0,0,0,0,0,0,0,0,0,2,2,3,2,2,1,1,1,0,0,0,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,0,0,0,2,3,3,3,2,2,3,3,1,1,0,0,0,0,0,0
ARTS-AS7-03,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-04,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,1,1,1,0
ARTS-AS7-05,0,0,0,0,0,1,1,1,6,8,8,8,8,9,9,10,9,9,8,4,2,1,1,1
ARTS-AS7-06,0,0,0,0,0,0,0,1,3,5,6,6,5,5,4,3,3,2,0,0,0,1,0,0
ARTS-CTN-02,0,0,0,0,0,0,1,5,6,4,4,15,47,29,2,0,0,2,2,0,0,0,0,0
ARTS-LT10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ARTS-LT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
