day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	1
1	14	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	2
2	9	4
2	10	6
2	11	7
2	12	6
2	13	7
2	14	10
2	15	11
2	16	10
2	17	8
2	18	7
2	19	3
2	20	2
2	21	2
2	22	2
2	23	2
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	3
3	10	8
3	11	11
3	12	16
3	13	14
3	14	10
3	15	12
3	16	14
3	17	13
3	18	10
3	19	6
3	20	3
3	21	0
3	22	0
3	23	0
3	24	0
4	1	1
4	2	1
4	3	1
4	4	2
4	5	2
4	6	2
4	7	2
4	8	2
4	9	2
4	10	5
4	11	6
4	12	11
4	13	14
4	14	13
4	15	13
4	16	19
4	17	17
4	18	18
4	19	20
4	20	11
4	21	10
4	22	10
4	23	9
4	24	1
5	1	0
5	2	0
5	3	1
5	4	3
5	5	3
5	6	3
5	7	3
5	8	3
5	9	10
5	10	16
5	11	20
5	12	21
5	13	21
5	14	21
5	15	21
5	16	22
5	17	22
5	18	19
5	19	12
5	20	9
5	21	8
5	22	6
5	23	5
5	24	5
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	1
6	7	0
6	8	0
6	9	1
6	10	2
6	11	1
6	12	1
6	13	1
6	14	1
6	15	0
6	16	2
6	17	1
6	18	2
6	19	2
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	4
7	10	7
7	11	10
7	12	10
7	13	11
7	14	9
7	15	7
7	16	6
7	17	7
7	18	5
7	19	4
7	20	2
7	21	1
7	22	1
7	23	1
7	24	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	1
8	8	2
8	9	7
8	10	11
8	11	16
8	12	18
8	13	19
8	14	19
8	15	22
8	16	26
8	17	27
8	18	24
8	19	8
8	20	4
8	21	3
8	22	3
8	23	3
8	24	3
9	1	0
9	2	0
9	3	0
9	4	0
9	5	1
9	6	1
9	7	1
9	8	1
9	9	4
9	10	8
9	11	9
9	12	12
9	13	12
9	14	11
9	15	12
9	16	10
9	17	5
9	18	4
9	19	2
9	20	3
9	21	2
9	22	2
9	23	2
9	24	2
10	1	0
10	2	1
10	3	1
10	4	1
10	5	2
10	6	2
10	7	2
10	8	2
10	9	5
10	10	6
10	11	6
10	12	7
10	13	8
10	14	10
10	15	10
10	16	9
10	17	7
10	18	7
10	19	5
10	20	4
10	21	3
10	22	2
10	23	2
10	24	2
11	1	2
11	2	2
11	3	2
11	4	2
11	5	2
11	6	2
11	7	2
11	8	2
11	9	2
11	10	2
11	11	3
11	12	3
11	13	1
11	14	1
11	15	1
11	16	2
11	17	2
11	18	4
11	19	3
11	20	3
11	21	1
11	22	1
11	23	1
11	24	1
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	1
12	10	4
12	11	4
12	12	4
12	13	3
12	14	4
12	15	4
12	16	5
12	17	5
12	18	5
12	19	3
12	20	1
12	21	1
12	22	0
12	23	0
12	24	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
13	12	0
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
13	18	0
13	19	0
13	20	0
13	21	0
13	22	0
13	23	0
13	24	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	1
14	9	5
14	10	8
14	11	15
14	12	18
14	13	12
14	14	16
14	15	15
14	16	10
14	17	9
14	18	6
14	19	4
14	20	2
14	21	1
14	22	1
14	23	1
14	24	1
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	1
15	9	2
15	10	2
15	11	3
15	12	6
15	13	5
15	14	4
15	15	6
15	16	7
15	17	7
15	18	5
15	19	3
15	20	0
15	21	0
15	22	0
15	23	0
15	24	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
16	18	0
16	19	0
16	20	0
16	21	0
16	22	0
16	23	0
16	24	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	2
17	10	3
17	11	3
17	12	3
17	13	3
17	14	3
17	15	3
17	16	2
17	17	3
17	18	3
17	19	1
17	20	0
17	21	0
17	22	0
17	23	0
17	24	0
18	1	0
18	2	1
18	3	1
18	4	1
18	5	1
18	6	0
18	7	0
18	8	3
18	9	9
18	10	11
18	11	8
18	12	9
18	13	16
18	14	17
18	15	16
18	16	17
18	17	17
18	18	12
18	19	2
18	20	1
18	21	1
18	22	2
18	23	1
18	24	1
19	1	1
19	2	1
19	3	1
19	4	1
19	5	1
19	6	1
19	7	1
19	8	1
19	9	5
19	10	9
19	11	11
19	12	14
19	13	13
19	14	15
19	15	18
19	16	17
19	17	17
19	18	11
19	19	9
19	20	8
19	21	6
19	22	5
19	23	4
19	24	4
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	0
20	7	0
20	8	1
20	9	1
20	10	1
20	11	1
20	12	2
20	13	2
20	14	2
20	15	3
20	16	3
20	17	2
20	18	2
20	19	1
20	20	0
20	21	0
20	22	0
20	23	0
20	24	0
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	0
21	10	1
21	11	2
21	12	3
21	13	5
21	14	3
21	15	5
21	16	4
21	17	4
21	18	3
21	19	3
21	20	3
21	21	2
21	22	2
21	23	2
21	24	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	0
22	10	2
22	11	3
22	12	4
22	13	4
22	14	4
22	15	2
22	16	1
22	17	1
22	18	1
22	19	0
22	20	0
22	21	0
22	22	0
22	23	0
22	24	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	0
23	10	0
23	11	0
23	12	1
23	13	1
23	14	1
23	15	1
23	16	1
23	17	0
23	18	0
23	19	0
23	20	0
23	21	0
23	22	0
23	23	0
23	24	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	0
24	11	0
24	12	1
24	13	2
24	14	2
24	15	1
24	16	1
24	17	0
24	18	0
24	19	0
24	20	0
24	21	0
24	22	0
24	23	0
24	24	0
25	1	0
25	2	0
25	3	0
25	4	1
25	5	1
25	6	1
25	7	2
25	8	2
25	9	3
25	10	7
25	11	7
25	12	8
25	13	6
25	14	7
25	15	8
25	16	10
25	17	8
25	18	7
25	19	4
25	20	2
25	21	1
25	22	2
25	23	2
25	24	2
26	1	1
26	2	1
26	3	1
26	4	1
26	5	1
26	6	1
26	7	2
26	8	1
26	9	2
26	10	2
26	11	4
26	12	5
26	13	6
26	14	6
26	15	6
26	16	8
26	17	6
26	18	6
26	19	4
26	20	5
26	21	2
26	22	3
26	23	3
26	24	2
27	1	1
27	2	1
27	3	2
27	4	2
27	5	2
27	6	2
27	7	2
27	8	2
27	9	3
27	10	5
27	11	6
27	12	8
27	13	10
27	14	12
27	15	10
27	16	10
27	17	8
27	18	7
27	19	5
27	20	5
27	21	4
27	22	4
27	23	4
27	24	2
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	1
28	9	5
28	10	7
28	11	6
28	12	7
28	13	6
28	14	4
28	15	3
28	16	6
28	17	7
28	18	7
28	19	4
28	20	1
28	21	1
28	22	0
28	23	0
28	24	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	3
29	10	4
29	11	4
29	12	4
29	13	4
29	14	6
29	15	7
29	16	10
29	17	10
29	18	4
29	19	2
29	20	0
29	21	0
29	22	0
29	23	0
29	24	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	0
30	8	0
30	9	1
30	10	3
30	11	3
30	12	3
30	13	5
30	14	5
30	15	4
30	16	4
30	17	3
30	18	4
30	19	4
30	20	3
30	21	2
30	22	2
30	23	2
30	24	2
31	1	0
31	2	0
31	3	0
31	4	0
31	5	1
31	6	1
31	7	1
31	8	1
31	9	2
31	10	4
31	11	8
31	12	8
31	13	9
31	14	10
31	15	12
31	16	12
31	17	13
31	18	10
31	19	8
31	20	6
31	21	4
31	22	3
31	23	0
31	24	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	0
32	9	0
32	10	2
32	11	2
32	12	3
32	13	2
32	14	2
32	15	1
32	16	1
32	17	1
32	18	0
32	19	0
32	20	0
32	21	0
32	22	0
32	23	0
32	24	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	0
33	9	2
33	10	3
33	11	3
33	12	3
33	13	2
33	14	2
33	15	3
33	16	3
33	17	1
33	18	1
33	19	0
33	20	0
33	21	0
33	22	0
33	23	0
33	24	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	1
34	11	1
34	12	2
34	13	1
34	14	0
34	15	0
34	16	0
34	17	0
34	18	0
34	19	0
34	20	0
34	21	0
34	22	0
34	23	0
34	24	0
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	0
35	11	1
35	12	1
35	13	1
35	14	1
35	15	2
35	16	2
35	17	2
35	18	2
35	19	2
35	20	2
35	21	1
35	22	1
35	23	1
35	24	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	1
36	7	1
36	8	1
36	9	6
36	10	8
36	11	8
36	12	8
36	13	8
36	14	9
36	15	9
36	16	10
36	17	9
36	18	9
36	19	8
36	20	4
36	21	2
36	22	1
36	23	1
36	24	1
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	1
37	9	3
37	10	5
37	11	6
37	12	6
37	13	5
37	14	5
37	15	4
37	16	3
37	17	3
37	18	2
37	19	0
37	20	0
37	21	0
37	22	1
