day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	2
1	12	2
1	13	2
1	14	2
1	15	3
1	16	2
1	17	0
1	18	0
1	19	1
1	20	1
1	21	1
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	1
2	8	1
2	9	4
2	10	9
2	11	15
2	12	22
2	13	45
2	14	52
2	15	53
2	16	52
2	17	35
2	18	35
2	19	27
2	20	19
2	21	9
2	22	5
2	23	5
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	2
3	11	1
3	12	8
3	13	27
3	14	32
3	15	33
3	16	27
3	17	10
3	18	9
3	19	7
3	20	4
3	21	3
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	6
4	9	194
4	10	286
4	11	277
4	12	228
4	13	221
4	14	253
4	15	236
4	16	175
4	17	207
4	18	266
4	19	240
4	20	179
4	21	3
4	22	1
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	2
5	12	3
5	13	2
5	14	1
5	15	1
5	16	0
5	17	2
5	18	2
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	1
6	12	3
6	13	5
6	14	3
6	15	4
6	16	5
6	17	2
6	18	2
6	19	2
6	20	2
6	21	2
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	4
7	11	3
7	12	1
7	13	1
7	14	2
7	15	2
7	16	2
7	17	4
7	18	4
7	19	3
7	20	1
7	21	1
7	22	1
7	23	1
7	24	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	1
8	10	3
8	11	7
8	12	12
8	13	12
8	14	13
8	15	15
8	16	16
8	17	12
8	18	16
8	19	12
8	20	8
8	21	9
8	22	9
8	23	10
8	24	4
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	1
9	11	2
9	12	2
9	13	2
9	14	2
9	15	4
9	16	4
9	17	2
9	18	2
9	19	0
9	20	0
9	21	0
9	22	0
9	23	0
9	24	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	0
10	11	0
10	12	0
10	13	0
10	14	1
10	15	1
10	16	0
10	17	1
10	18	0
10	19	0
10	20	0
10	21	0
10	22	0
10	23	0
10	24	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	0
11	9	0
11	10	0
11	11	1
11	12	2
11	13	1
11	14	0
11	15	3
11	16	4
11	17	3
11	18	3
11	19	3
11	20	4
11	21	4
11	22	1
11	23	1
11	24	1
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	0
12	10	0
12	11	0
12	12	1
12	13	10
12	14	11
12	15	11
12	16	9
12	17	1
12	18	0
12	19	0
12	20	0
12	21	0
12	22	0
12	23	0
12	24	0
13	1	2
13	2	3
13	3	3
13	4	5
13	5	5
13	6	5
13	7	2
13	8	0
13	9	3
13	10	8
13	11	13
13	12	16
13	13	20
13	14	10
13	15	5
13	16	8
13	17	6
13	18	7
13	19	5
13	20	3
13	21	4
13	22	4
13	23	4
13	24	4
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	0
14	9	0
14	10	0
14	11	1
14	12	2
14	13	3
14	14	2
14	15	2
14	16	2
14	17	1
14	18	2
14	19	1
14	20	1
14	21	0
14	22	0
14	23	0
14	24	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	0
15	11	0
15	12	0
15	13	0
15	14	0
15	15	0
15	16	0
15	17	0
15	18	0
15	19	0
15	20	0
15	21	0
15	22	0
15	23	0
15	24	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
16	18	0
16	19	0
16	20	0
16	21	0
16	22	0
16	23	0
16	24	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	3
17	10	4
17	11	7
17	12	8
17	13	11
17	14	9
17	15	8
17	16	8
17	17	5
17	18	5
17	19	2
17	20	1
17	21	2
17	22	2
17	23	0
17	24	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	1
18	12	0
18	13	1
18	14	1
18	15	1
18	16	0
18	17	0
18	18	2
18	19	0
18	20	0
18	21	0
18	22	0
18	23	0
18	24	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	0
19	13	0
19	14	0
19	15	0
19	16	0
19	17	0
19	18	0
19	19	0
19	20	0
19	21	1
19	22	1
19	23	0
19	24	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	0
20	7	0
20	8	0
20	9	0
20	10	0
20	11	2
20	12	2
20	13	1
20	14	2
20	15	2
20	16	2
20	17	1
20	18	2
20	19	1
20	20	0
20	21	0
20	22	0
20	23	0
20	24	0
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	0
21	10	0
21	11	0
21	12	0
21	13	0
21	14	0
21	15	0
21	16	0
21	17	0
21	18	0
21	19	0
21	20	0
21	21	0
21	22	0
21	23	0
21	24	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	0
22	10	0
22	11	0
22	12	0
22	13	0
22	14	0
22	15	0
22	16	0
22	17	0
22	18	1
22	19	0
22	20	0
22	21	0
22	22	0
22	23	0
22	24	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	0
23	10	0
23	11	0
23	12	0
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
23	18	0
23	19	0
23	20	0
23	21	0
23	22	0
23	23	0
23	24	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	1
24	11	1
24	12	0
24	13	0
24	14	1
24	15	1
24	16	1
24	17	2
24	18	2
24	19	0
24	20	0
24	21	0
24	22	0
24	23	0
24	24	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	2
25	10	2
25	11	2
25	12	3
25	13	5
25	14	6
25	15	5
25	16	5
25	17	7
25	18	4
25	19	4
25	20	3
25	21	3
25	22	6
25	23	4
25	24	3
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	0
26	8	0
26	9	0
26	10	0
26	11	1
26	12	2
26	13	3
26	14	4
26	15	5
26	16	4
26	17	3
26	18	2
26	19	1
26	20	1
26	21	1
26	22	1
26	23	2
26	24	2
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	0
27	9	0
27	10	1
27	11	1
27	12	1
27	13	0
27	14	0
27	15	3
27	16	4
27	17	2
27	18	2
27	19	0
27	20	0
27	21	0
27	22	0
27	23	0
27	24	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	1
28	10	2
28	11	2
28	12	2
28	13	2
28	14	2
28	15	2
28	16	3
28	17	3
28	18	3
28	19	3
28	20	4
28	21	3
28	22	1
28	23	1
28	24	1
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	0
29	10	0
29	11	0
29	12	2
29	13	4
29	14	4
29	15	4
29	16	5
29	17	2
29	18	2
29	19	2
29	20	3
29	21	2
29	22	2
29	23	0
29	24	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	0
30	8	0
30	9	1
30	10	1
30	11	1
30	12	3
30	13	7
30	14	9
30	15	8
30	16	5
30	17	7
30	18	8
30	19	11
30	20	9
30	21	7
30	22	5
30	23	5
30	24	2
31	1	0
31	2	0
31	3	0
31	4	1
31	5	1
31	6	1
31	7	1
31	8	1
31	9	1
31	10	3
31	11	4
31	12	4
31	13	3
31	14	10
31	15	11
31	16	8
31	17	1
31	18	1
31	19	2
31	20	1
31	21	0
31	22	0
31	23	0
31	24	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	0
32	9	0
32	10	0
32	11	0
32	12	0
32	13	0
32	14	0
32	15	0
32	16	0
32	17	0
32	18	0
32	19	0
32	20	0
32	21	0
32	22	0
32	23	0
32	24	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	0
33	9	0
33	10	3
33	11	8
33	12	12
33	13	8
33	14	6
33	15	5
33	16	8
33	17	7
33	18	3
33	19	2
33	20	2
33	21	2
33	22	1
33	23	1
33	24	0
34	1	1
34	2	1
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	1
34	11	1
34	12	3
34	13	3
34	14	3
34	15	3
34	16	4
34	17	3
34	18	1
34	19	1
34	20	0
34	21	0
34	22	0
34	23	0
34	24	0
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	0
35	11	0
35	12	0
35	13	0
35	14	0
35	15	0
35	16	0
35	17	0
35	18	0
35	19	0
35	20	0
35	21	0
35	22	0
35	23	0
35	24	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0
36	9	2
36	10	6
36	11	6
36	12	6
36	13	6
36	14	6
36	15	5
36	16	6
36	17	5
36	18	6
36	19	6
36	20	3
36	21	4
36	22	5
36	23	6
36	24	5
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	0
37	10	0
37	11	1
37	12	0
37	13	2
37	14	2
37	15	2
37	16	2
37	17	2
37	18	0
37	19	0
37	20	0
37	21	0
37	22	0
