day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	1
1	13	2
1	14	3
1	15	4
1	16	4
1	17	4
1	18	3
1	19	2
1	20	2
1	21	2
1	22	1
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	4
2	9	26
2	10	88
2	11	124
2	12	164
2	13	113
2	14	150
2	15	177
2	16	200
2	17	168
2	18	170
2	19	96
2	20	85
2	21	29
2	22	14
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	5
3	9	32
3	10	66
3	11	75
3	12	65
3	13	63
3	14	90
3	15	88
3	16	102
3	17	85
3	18	63
3	19	36
3	20	44
3	21	37
3	22	34
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	3
4	10	6
4	11	17
4	12	19
4	13	17
4	14	22
4	15	26
4	16	27
4	17	36
4	18	38
4	19	74
4	20	85
4	21	77
4	22	64
4	23	40
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	1
5	10	1
5	11	4
5	12	4
5	13	1
5	14	3
5	15	7
5	16	5
5	17	4
5	18	3
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	10
6	11	20
6	12	43
6	13	43
6	14	53
6	15	19
6	16	28
6	17	17
6	18	17
6	19	12
6	20	3
6	21	1
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	8
7	9	17
7	10	28
7	11	29
7	12	26
7	13	15
7	14	20
7	15	28
7	16	35
7	17	39
7	18	30
7	19	3
7	20	4
7	21	2
7	22	1
7	23	0
7	24	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	1
8	9	4
8	10	19
8	11	42
8	12	55
8	13	70
8	14	93
8	15	101
8	16	88
8	17	58
8	18	48
8	19	59
8	20	70
8	21	57
8	22	36
8	23	5
8	24	1
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	2
9	10	3
9	11	5
9	12	5
9	13	4
9	14	5
9	15	7
9	16	10
9	17	13
9	18	8
9	19	5
9	20	4
9	21	1
9	22	0
9	23	0
9	24	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	1
10	11	4
10	12	4
10	13	1
10	14	0
10	15	2
10	16	2
10	17	3
10	18	2
10	19	1
10	20	0
10	21	0
10	22	0
10	23	0
10	24	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	1
11	9	1
11	10	7
11	11	8
11	12	5
11	13	6
11	14	5
11	15	4
11	16	7
11	17	9
11	18	5
11	19	0
11	20	0
11	21	0
11	22	1
11	23	1
11	24	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	12
12	10	48
12	11	73
12	12	111
12	13	75
12	14	103
12	15	95
12	16	123
12	17	75
12	18	60
12	19	31
12	20	32
12	21	12
12	22	9
12	23	0
12	24	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	7
13	9	49
13	10	84
13	11	114
13	12	133
13	13	97
13	14	116
13	15	87
13	16	124
13	17	96
13	18	101
13	19	54
13	20	51
13	21	24
13	22	3
13	23	0
13	24	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	2
14	9	5
14	10	6
14	11	15
14	12	10
14	13	2
14	14	5
14	15	4
14	16	8
14	17	8
14	18	6
14	19	6
14	20	4
14	21	1
14	22	0
14	23	0
14	24	0
15	1	0
15	2	1
15	3	1
15	4	1
15	5	1
15	6	1
15	7	1
15	8	1
15	9	1
15	10	1
15	11	2
15	12	3
15	13	6
15	14	9
15	15	8
15	16	7
15	17	3
15	18	3
15	19	3
15	20	1
15	21	0
15	22	0
15	23	0
15	24	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	1
16	16	1
16	17	0
16	18	0
16	19	0
16	20	0
16	21	0
16	22	0
16	23	0
16	24	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	3
17	9	15
17	10	38
17	11	64
17	12	84
17	13	87
17	14	110
17	15	96
17	16	96
17	17	69
17	18	68
17	19	65
17	20	69
17	21	37
17	22	0
17	23	0
17	24	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	1
18	10	13
18	11	27
18	12	29
18	13	20
18	14	17
18	15	22
18	16	17
18	17	12
18	18	10
18	19	3
18	20	2
18	21	0
18	22	0
18	23	0
18	24	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	4
19	9	23
19	10	29
19	11	16
19	12	12
19	13	5
19	14	8
19	15	9
19	16	3
19	17	6
19	18	6
19	19	4
19	20	4
19	21	2
19	22	0
19	23	0
19	24	0
20	1	0
20	2	1
20	3	1
20	4	1
20	5	1
20	6	1
20	7	1
20	8	1
20	9	1
20	10	4
20	11	11
20	12	9
20	13	15
20	14	10
20	15	6
20	16	12
20	17	13
20	18	12
20	19	6
20	20	4
20	21	2
20	22	2
20	23	1
20	24	2
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	1
21	9	1
21	10	0
21	11	0
21	12	0
21	13	0
21	14	0
21	15	1
21	16	1
21	17	0
21	18	0
21	19	0
21	20	0
21	21	0
21	22	0
21	23	0
21	24	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	3
22	9	20
22	10	45
22	11	42
22	12	50
22	13	40
22	14	48
22	15	32
22	16	43
22	17	48
22	18	52
22	19	47
22	20	44
22	21	5
22	22	0
22	23	0
22	24	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	4
23	10	16
23	11	26
23	12	25
23	13	6
23	14	40
23	15	59
23	16	47
23	17	0
23	18	0
23	19	0
23	20	0
23	21	0
23	22	0
23	23	0
23	24	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	2
24	11	19
24	12	19
24	13	29
24	14	28
24	15	22
24	16	17
24	17	7
24	18	7
24	19	1
24	20	1
24	21	0
24	22	0
24	23	0
24	24	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	4
25	11	19
25	12	21
25	13	23
25	14	28
25	15	31
25	16	20
25	17	20
25	18	13
25	19	11
25	20	12
25	21	0
25	22	0
25	23	0
25	24	0
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	0
26	8	0
26	9	2
26	10	3
26	11	8
26	12	11
26	13	14
26	14	21
26	15	11
26	16	8
26	17	17
26	18	12
26	19	10
26	20	6
26	21	1
26	22	1
26	23	1
26	24	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	1
27	8	1
27	9	1
27	10	1
27	11	4
27	12	6
27	13	10
27	14	14
27	15	11
27	16	4
27	17	3
27	18	3
27	19	5
27	20	8
27	21	9
27	22	7
27	23	6
27	24	1
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	3
28	10	4
28	11	2
28	12	2
28	13	6
28	14	7
28	15	7
28	16	8
28	17	5
28	18	6
28	19	15
28	20	15
28	21	14
28	22	16
28	23	10
28	24	7
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	1
29	10	1
29	11	2
29	12	5
29	13	11
29	14	14
29	15	14
29	16	10
29	17	9
29	18	9
29	19	5
29	20	2
29	21	1
29	22	0
29	23	0
29	24	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	0
30	8	0
30	9	7
30	10	14
30	11	24
30	12	25
30	13	12
30	14	14
30	15	13
30	16	11
30	17	14
30	18	14
30	19	15
30	20	20
30	21	23
30	22	18
30	23	3
30	24	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	0
31	9	6
31	10	7
31	11	4
31	12	7
31	13	13
31	14	13
31	15	7
31	16	10
31	17	16
31	18	22
31	19	11
31	20	9
31	21	9
31	22	1
31	23	1
31	24	1
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	0
32	9	2
32	10	20
32	11	46
32	12	93
32	13	118
32	14	134
32	15	50
32	16	63
32	17	65
32	18	62
32	19	1
32	20	0
32	21	0
32	22	0
32	23	0
32	24	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	0
33	9	2
33	10	10
33	11	22
33	12	26
33	13	29
33	14	43
33	15	39
33	16	58
33	17	37
33	18	13
33	19	2
33	20	1
33	21	0
33	22	0
33	23	0
33	24	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	1
34	10	3
34	11	2
34	12	1
34	13	2
34	14	2
34	15	2
34	16	3
34	17	3
34	18	5
34	19	6
34	20	5
34	21	2
34	22	1
34	23	1
34	24	1
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	0
35	11	1
35	12	0
35	13	0
35	14	0
35	15	0
35	16	0
35	17	0
35	18	0
35	19	0
35	20	0
35	21	0
35	22	0
35	23	0
35	24	0
36	1	0
36	2	0
36	3	0
36	4	1
36	5	1
36	6	1
36	7	1
36	8	1
36	9	1
36	10	1
36	11	1
36	12	0
36	13	2
36	14	2
36	15	3
36	16	4
36	17	3
36	18	3
36	19	3
36	20	3
36	21	4
36	22	3
36	23	3
36	24	2
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	0
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	0
37	17	1
37	18	1
37	19	0
37	20	0
37	21	0
37	22	0
