journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS1-02,1,1,1,1,1,1,1,1,2,3,2,2,6,10,11,9,6,5,2,2,1,2,2,1
ARTS-AS1-03,0,0,0,0,0,0,0,0,2,3,4,7,11,13,12,12,13,10,4,3,0,0,0,0
ARTS-AS1-04,2,2,2,2,2,2,2,3,21,28,32,29,36,40,44,41,28,30,32,25,8,5,3,1
ARTS-AS1-05,1,1,1,1,1,1,1,2,7,12,16,17,24,24,27,32,20,15,11,7,5,4,2,2
ARTS-AS2-02,0,0,0,0,0,0,0,0,1,4,6,5,18,17,2,1,0,0,0,0,0,0,0,0
ARTS-AS2-03,0,0,0,0,0,0,0,0,2,5,5,6,6,6,7,10,10,10,6,4,3,4,3,1
ARTS-AS2-04,0,0,0,0,1,1,1,1,7,18,17,20,25,25,28,27,25,20,11,10,8,6,5,2
ARTS-AS2-05,2,2,1,1,1,1,2,3,5,8,7,7,9,8,12,15,15,8,3,5,5,5,4,4
ARTS-AS2-06,1,1,1,1,1,1,1,1,5,7,7,7,5,9,9,10,7,5,2,2,2,2,2,2
ARTS-AS3-01,0,0,0,1,1,1,1,1,2,3,3,4,4,4,4,4,3,4,4,3,3,3,2,2
ARTS-AS3-02,0,0,0,0,0,0,0,0,0,5,5,3,1,3,5,5,6,6,4,1,1,0,0,0
ARTS-AS3-03,0,0,0,0,0,0,0,0,1,2,1,2,1,0,1,1,1,0,0,0,0,0,0,0
ARTS-AS3-04,0,0,0,0,0,0,0,1,4,9,13,12,11,10,13,11,9,6,7,1,1,0,0,0
ARTS-AS3-05,0,0,0,0,0,0,0,0,2,3,4,4,4,2,1,3,3,4,2,1,1,0,0,0
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,0,1,3,4,5,5,8,7,6,7,6,5,0,0,0,0,0,0
ARTS-AS4-02,1,2,2,2,2,2,3,4,8,13,13,13,12,15,13,14,14,15,6,3,3,3,3,3
ARTS-AS4-03,1,1,1,1,1,1,1,1,2,4,10,14,16,17,19,17,19,12,6,4,3,3,2,2
ARTS-AS4-04,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
ARTS-AS4-05,0,0,0,0,0,0,0,0,1,2,4,7,8,5,5,6,6,5,3,3,2,0,0,0
ARTS-AS4-06,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,1,1,0,0,0,0,0
ARTS-AS4-B1,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
ARTS-AS5-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARTS-AS5-03,0,1,2,2,2,2,3,4,4,8,8,8,8,10,7,8,9,6,5,3,3,4,3,3
ARTS-AS5-04,0,0,1,1,1,1,1,1,0,3,3,7,7,5,4,5,4,2,0,0,0,0,2,2
ARTS-AS5-05,0,0,0,0,1,1,1,1,1,3,6,9,11,14,11,10,10,10,8,5,2,2,2,2
ARTS-AS5-06,0,0,0,0,0,0,1,1,4,8,8,8,7,6,5,6,7,6,4,1,1,0,0,0
ARTS-AS6-01,0,0,0,0,0,0,0,0,4,4,2,3,5,6,5,7,7,7,4,0,0,0,0,0
ARTS-AS6-02,0,0,1,1,1,1,1,1,2,3,3,5,7,8,7,7,8,9,6,3,2,2,1,1
ARTS-AS6-03,0,0,0,0,0,0,0,0,2,6,8,11,16,19,16,16,16,11,9,3,3,2,2,0
ARTS-AS7-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,0,0,1,3,3,4,5,7,7,9,8,7,8,7,2,1,1,0,0
ARTS-AS7-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-04,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,3,4,2,0,1,1,0,0,0
ARTS-AS7-05,0,0,0,0,0,0,0,6,26,34,36,37,36,40,36,38,38,36,21,7,3,2,2,2
ARTS-AS7-06,0,0,0,0,0,0,0,3,13,19,33,33,23,23,22,21,16,15,8,2,1,1,1,1
ARTS-CTN-02,0,0,0,0,0,0,0,0,2,4,5,18,63,49,3,5,3,4,6,1,0,0,0,0
ARTS-LT10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,1,0,0,0,0,0,0,0,0
ARTS-LT12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
ARTS-LT13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT15,0,0,0,0,0,0,0,0,0,1,1,3,4,3,2,1,1,0,0,0,0,0,0,0
ARTS-LT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARTS-Ventus-01,0,0,0,0,0,0,0,1,36,43,42,43,41,46,55,58,56,51,32,12,8,6,5,1
ARTS-Ventus-02,0,0,0,0,0,1,1,7,42,58,68,68,72,76,74,67,65,62,53,27,6,3,2,2
ARTS-Ventus-03,0,0,0,0,0,1,1,5,31,49,51,56,50,51,54,59,55,48,33,10,4,3,2,1
ARTS-Ventus-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-01,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0
CCELIB-CL-03,0,0,0,0,0,0,0,0,2,3,3,1,1,1,2,2,3,3,2,1,1,0,0,0
CCELIB-CL-04,0,0,0,0,0,0,1,3,11,18,24,23,24,24,23,28,24,16,8,6,7,8,5,4
CCELIB-CL-05,0,0,0,0,1,1,1,1,5,10,12,17,18,18,25,25,22,18,15,8,7,5,1,1
CCELIB-CL-06,0,0,0,0,0,0,1,2,11,11,14,16,20,25,29,23,26,24,16,6,6,5,2,2
