journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,1,0,0,0,0,0
ARTS-AS1-02,0,0,0,0,0,0,1,2,3,4,7,11,12,13,14,13,11,14,10,8,3,2,3,2
ARTS-AS1-03,0,0,0,0,0,0,0,0,0,1,2,4,4,6,6,7,8,5,6,6,1,1,0,0
ARTS-AS1-04,0,0,0,0,0,0,0,0,0,1,2,9,8,6,6,6,7,13,12,8,4,3,1,0
ARTS-AS1-05,0,0,0,0,0,0,0,0,0,1,6,8,4,3,3,1,1,1,1,0,0,0,0,0
ARTS-AS2-02,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
ARTS-AS2-03,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,4,5,3,2,1,1,1,0,0
ARTS-AS2-04,0,0,0,0,0,0,0,0,1,7,7,8,5,5,7,7,7,6,7,4,6,5,5,4
ARTS-AS2-05,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,2,2,3,2,0,0,0,0,0
ARTS-AS2-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS3-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS3-02,0,0,0,0,0,0,0,0,0,0,1,2,1,2,4,3,3,1,2,1,0,0,0,0
ARTS-AS3-03,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,2,1,0,0,0,0
ARTS-AS3-04,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,1,0,0,0,0,0,0,0
ARTS-AS3-05,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
ARTS-AS4-02,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ARTS-AS4-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ARTS-AS4-04,1,1,1,1,1,1,1,1,2,4,5,7,6,6,8,8,9,7,5,2,2,2,1,1
ARTS-AS4-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-B1,0,0,0,0,0,0,0,0,0,0,10,11,15,17,19,15,13,11,0,0,0,0,0,0
ARTS-AS5-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS5-03,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,4,3,0,2,4,4,4,3,0
ARTS-AS5-04,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,3,4,2,0,0,0,0,0,0
ARTS-AS5-05,0,0,0,0,0,0,0,0,0,0,2,2,3,5,5,6,2,2,3,2,0,0,0,0
ARTS-AS5-06,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
ARTS-AS6-01,0,0,0,0,0,0,0,0,0,0,1,2,3,6,5,4,6,7,4,4,3,2,0,0
ARTS-AS6-02,0,0,0,0,0,0,0,0,1,6,13,15,18,35,50,51,42,34,12,5,3,3,1,1
ARTS-AS6-03,0,0,0,0,0,0,0,0,0,1,3,1,1,0,3,3,3,2,1,1,1,1,1,0
ARTS-AS7-01,0,0,0,0,0,0,0,0,0,0,7,9,9,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,0,0,0,0,0,0,0
ARTS-AS7-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,1,1
ARTS-AS7-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0
ARTS-AS7-05,0,0,0,0,0,0,0,0,1,2,2,3,2,1,2,2,1,1,1,0,0,0,0,0
ARTS-AS7-06,0,0,0,0,0,0,0,0,0,3,4,4,6,5,5,5,5,0,0,0,0,0,0,0
ARTS-CTN-02,0,0,0,0,0,0,1,1,2,6,10,14,52,66,36,14,10,13,11,3,2,1,1,0
ARTS-LT10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
ARTS-LT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT14,0,0,0,0,0,0,0,0,0,1,3,6,11,10,12,11,9,6,0,0,0,0,0,0
ARTS-LT15,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,2,1,1,1,1,1,1,0
ARTS-LT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ARTS-LT9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-Ventus-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
